arrival times,queuing exit times,consult exit times
[6.66068712],[14.31995954],[30.44473654]
[10.09265003],[14.41759655],[87.05910581]
[36.37413647],[43.62593107],[98.75647202]
[38.03256618],[60.44919321],[101.03253973]
[42.04795051],[62.07950693],[105.47093456]
[47.24902319],[64.38095525],[122.96712315]
[59.90912953],[66.51064734],[127.30881874]
[90.44511068],[93.27825463],[175.7723268]
[115.19473603],[127.19229463],[183.31817958]
[125.43278175],[129.12935114],[187.33388501]
[138.33458369],[138.93352061],[209.10872153]
[149.43379515],[155.63503896],[231.48968175]
[172.7806032],[188.31647448],[246.13762931]
[210.97916834],[222.79100702],[261.25383078]
[212.80687992],[222.90596227],[265.20047925]
[223.31810398],[229.22439494],[316.02375884]
[231.13433536],[237.00612084],[320.99275532]
[248.88338253],[259.26572119],[322.34836121]
[249.65528494],[261.26965888],[326.69410306]
[264.00235829],[268.83472555],[334.59741244]
[264.34763963],[273.08381322],[335.00204605]
[291.24441513],[291.65923381],[335.43955885]
[292.08872965],[293.24047044],[390.25501493]
[318.92623043],[319.02248708],[397.51346736]
[373.14636794],[373.72963307],[409.53941208]
[386.58234061],[388.17425229],[416.46162825]
[392.41309239],[393.26343206],[432.60692718]
[398.52991872],[399.94409525],[451.47324087]
[408.96145172],[412.3358612],[477.0007141]
[426.45957083],[428.94343623],[485.78866738]
[430.58149725],[437.7721362],[511.26985351]
[436.76849869],[437.78832926],[522.29793846]
[440.39799633],[442.74602224],[541.11593043]
[448.81792027],[450.56318924],[543.40116627]
[449.17399319],[450.73579466],[559.71178727]
[449.43259949],[461.80854222],[612.00485462]
[471.93729389],[472.15683198],[619.05924769]
