arrival times,queuing exit times,consult exit times
[5.03362197],[9.18873807],[27.56850475]
[9.34818265],[12.91822177],[35.98559096]
[26.21092171],[40.28414238],[69.30358222]
[36.32360905],[48.09253468],[69.94052703]
[45.08190821],[52.26352329],[69.97911967]
[49.68172358],[57.28837344],[74.0566088]
[102.0565514],[104.68410909],[135.00913456]
[117.32955215],[117.87430677],[153.00116037]
[146.14674504],[150.29742373],[156.94509068]
[172.68322356],[174.84013258],[175.08391378]
[182.86828574],[194.36987944],[201.97243553]
[228.40585281],[236.61154152],[251.65929817]
[231.4144595],[239.47315306],[262.29151951]
[269.23815825],[269.74580163],[275.37695853]
[280.68595137],[285.07175738],[286.07766766]
[384.8163319],[396.85181732],[432.01892913]
[405.27464294],[411.21766066],[460.74497352]
[405.30353618],[414.10239498],[461.79706433]
[406.65514367],[419.00075232],[581.065804]
[420.17023851],[421.18973768],[623.80632462]
