time,queue length
[5.03362197],1
[9.34818265],2
[26.21092171],3
[27.56850475],2
[35.98559096],1
[36.32360905],2
[45.08190821],3
[49.68172358],4
[69.30358222],3
[69.94052703],2
[69.97911967],1
[74.0566088],0
[102.0565514],1
[117.32955215],2
[135.00913456],1
[146.14674504],2
[153.00116037],1
[156.94509068],0
[172.68322356],1
[175.08391378],0
[182.86828574],1
[201.97243553],0
[228.40585281],1
[231.4144595],2
[251.65929817],1
[262.29151951],0
[269.23815825],1
[275.37695853],0
[280.68595137],1
[286.07766766],0
[384.8163319],1
[405.27464294],2
[405.30353618],3
[406.65514367],4
[420.17023851],5
[432.01892913],4
[460.74497352],3
[461.79706433],2
[581.065804],1
[623.80632462],0
