time,queue length
[6.66068712],1
[10.09265003],2
[30.44473654],1
[36.37413647],2
[38.03256618],3
[42.04795051],4
[47.24902319],5
[59.90912953],6
[87.05910581],5
[90.44511068],6
[98.75647202],5
[101.03253973],4
[105.47093456],3
[115.19473603],4
[122.96712315],3
[125.43278175],4
[127.30881874],3
[138.33458369],4
[149.43379515],5
[172.7806032],6
[175.7723268],5
[183.31817958],4
[187.33388501],3
[209.10872153],2
[210.97916834],3
[212.80687992],4
[223.31810398],5
[231.13433536],6
[231.48968175],5
[246.13762931],4
[248.88338253],5
[249.65528494],6
[261.25383078],5
[264.00235829],6
[264.34763963],7
[265.20047925],6
[291.24441513],7
[292.08872965],8
[316.02375884],7
[318.92623043],8
[320.99275532],7
[322.34836121],6
[326.69410306],5
[334.59741244],4
[335.00204605],3
[335.43955885],2
[373.14636794],3
[386.58234061],4
[390.25501493],3
[392.41309239],4
[397.51346736],3
[398.52991872],4
[408.96145172],5
[409.53941208],4
[416.46162825],3
[426.45957083],4
[430.58149725],5
[432.60692718],4
[436.76849869],5
[440.39799633],6
[448.81792027],7
[449.17399319],8
[449.43259949],9
[451.47324087],8
[471.93729389],9
[477.0007141],8
[485.78866738],7
[511.26985351],6
[522.29793846],5
[541.11593043],4
[543.40116627],3
[559.71178727],2
[612.00485462],1
[619.05924769],0
